,image,station,label
20,21.jpg,dn_20210122,Cyanobacteria
55,56.jpg,hsn_20201227,detritus
80,81.jpg,hsn_20210120_4k,detritus
115,116.jpg,hsn_20201227,round cells
117,118.jpg,dn_20210122,Cyanobacteria
118,119.jpg,dn_20210114,Eutintinnus
128,129.jpg,dn_20210111,detritus
132,133.jpg,dn_20210111,artefact
133,134.jpg,dn_20210111,detritus
138,139.jpg,dn_20210122,detritus
149,150.jpg,dn_20210122,Cyanobacteria
162,163.jpg,dn_20210122,Cyanobacteria
165,166.jpg,hsn_20201227,Coscinodiscophycidae
172,173.jpg,dn_20210114,dry
178,179.jpg,dn_20210111,Cyanobacteria
181,182.jpg,dn_20210111,Cyanobacteria
186,187.jpg,dn_20210122,Cyanobacteria
200,201.jpg,dn_20210111,detritus
202,203.jpg,hsn_20210120_4k,detritus
208,209.jpg,dn_20210111,detritus
214,215.jpg,hsn_20210120_4k,dry
223,224.jpg,dn_20210111,Acantharia
274,275.jpg,dn_20210122,Cyanobacteria
276,277.jpg,dn_20210122,Eucampia
289,290.jpg,dn_20210111,Cyanobacteria
298,299.jpg,dn_20210111,part<Crustacea
311,312.jpg,dn_20210122,detritus
317,318.jpg,dn_20210111,detritus
322,323.jpg,dn_20210122,round cells
326,327.jpg,hsn_20210120_4k,dry
341,342.jpg,dn_20210111,round cells
346,347.jpg,dn_20210114,detritus
364,365.jpg,dn_20210111,detritus
375,376.jpg,dn_20210111,part<Crustacea
378,379.jpg,hsn_20201227,transparent
390,391.jpg,dn_20210111,detritus
395,396.jpg,hsn_20210120_4k,Diatoma
398,399.jpg,dn_20210111,Cyanobacteria
399,400.jpg,dn_20210114,detritus
400,401.jpg,hsn_20210120_4k,detritus
411,412.jpg,dn_20210114,detritus
441,442.jpg,dn_20210122,Cyanobacteria
442,443.jpg,dn_20210111,artefact
444,445.jpg,hsn_20210120_4k,detritus
446,447.jpg,dn_20210122,Cyanobacteria
468,469.jpg,dn_20210122,Cyanobacteria
471,472.jpg,dn_20210122,round cells
501,502.jpg,dn_20210111,multiple<other
502,503.jpg,dn_20210114,round cells
503,504.jpg,dn_20210122,detritus
504,505.jpg,dn_20210122,detritus
