station,genus,count,label
hsn_20210120_4k,Amphorides,1,1
hsn_20210120_4k,Calanoida,1,1
hsn_20210120_4k,Chaetoceros,2,1
hsn_20210120_4k,Ciliophora,1,1
hsn_20210120_4k,Cyanobacteria,141,1
hsn_20210120_4k,Diatoma,253,1
hsn_20210120_4k,Dictyochophyceae,1,1
hsn_20210120_4k,Eucampia,2,1
hsn_20210120_4k,Eutintinnus,1,1
hsn_20210120_4k,Gonyaulacales,1,1
hsn_20210120_4k,Hemiaulus,60,1
hsn_20210120_4k,Neoceratium,1,1
hsn_20210120_4k,Pyrocystaceae,1,1
hsn_20210120_4k,Steenstrupiella,2,1
hsn_20210120_4k,Tintinnida,2,1
hsn_20210120_4k,artefact,18,0
hsn_20210120_4k,bubble,1,0
hsn_20210120_4k,detritus,379,0
hsn_20210120_4k,dry,178,0
hsn_20210120_4k,ghost,5,0
hsn_20210120_4k,lightrods,6,0
hsn_20210120_4k,multiple<Diatoma,10,0
hsn_20210120_4k,multiple<other,9,0
hsn_20210120_4k,nauplii,1,0
hsn_20210120_4k,other,1,0
hsn_20210120_4k,part<Crustacea,14,0
hsn_20210120_4k,rods,8,0
hsn_20210120_4k,round cells,5,0
hsn_20210120_4k,transparent,83,0
